Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u
D:\urban\sg500\8\01.bmp;69;114.906;113.189;112.93;963;911;788;744;691;688;673;670;626;615;589;576;571;566;517;484;446;432;374;173.027;60;122.997;98.8786;17;11;5;4;4;2;929;0;2881;0;728;70;165;2956;0;709;80;99;2600;0;1060;127;57;2381;0;1396;44;23
D:\urban\sg500\8\01.bmp;70;33.8861;51.6353;51.1152;819;701;505;399;290;134;45;11;0;0;0;0;0;0;0;0;0;0;0;178.662;180;7.88993;8.00268;0;0;0;0;0;0;35;0;57;0;51;3686;50;83;0;75;3658;28;90;0;97;3629;28;72;0;324;3388;60
D:\urban\sg500\8\01.bmp;71;28.9618;46.5226;48.5541;922;751;466;365;270;117;63;21;21;0;0;0;0;0;0;0;0;0;0;185.738;191;9.04525;10.4647;0;0;0;0;0;0;38;0;0;0;7;3801;36;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;72;29.2326;45.1514;48.5359;815;662;482;373;274;92;48;30;9;0;0;0;0;0;0;0;0;0;0;189.974;191;8.68167;8.7311;0;0;0;0;0;0;30;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;73;41.9238;57.161;57.1837;948;820;665;525;351;181;100;41;31;0;0;0;0;0;0;0;0;0;0;179.383;180;13.2283;13.2427;0;0;0;0;0;0;50;0;0;0;93;3265;486;0;0;0;3520;324;0;0;0;3633;211;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;74;57.1941;71.358;67.0328;963;892;721;588;495;348;171;150;105;83;56;32;31;22;0;0;0;0;0;154.676;180;33.3941;41.9244;0;0;0;0;0;0;69;0;128;0;971;1444;1301;93;0;425;2465;861;0;0;237;3031;576;0;0;336;3136;372
D:\urban\sg500\8\01.bmp;75;50.9493;69.2167;64.584;950;809;610;435;256;136;80;38;0;0;0;0;0;0;0;0;0;0;0;164.944;167;6.88045;7.18105;0;0;0;0;0;0;33;0;0;0;755;1727;1362;0;0;0;3006;838;0;0;0;3264;580;0;0;0;3760;84
D:\urban\sg500\8\01.bmp;76;47.2414;65.0965;61.3418;913;754;538;358;138;57;30;20;0;0;0;0;0;0;0;0;0;0;0;167.892;169;8.62739;8.69823;0;0;0;0;0;0;65;0;0;0;289;2309;1246;0;0;3;3289;552;0;0;2;3540;302;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;77;64.6855;72.0819;71.206;921;863;680;604;395;330;319;284;215;194;166;107;100;100;70;69;69;69;62;182.381;180;80.3228;80.6766;7;4;3;1;1;1;829;0;603;0;1284;1514;443;435;0;1295;1947;167;89;0;1414;2256;85;0;0;1886;1958;0
D:\urban\sg500\8\01.bmp;78;103.181;100.232;101.318;958;926;828;799;751;685;614;572;552;527;493;449;406;400;355;333;316;296;280;191.105;300;120.153;81.9896;21;10;3;4;1;1;848;0;2660;0;716;106;362;2558;0;917;53;316;2118;0;1407;54;265;1760;0;2069;0;15
D:\urban\sg500\8\01.bmp;79;136.168;134.3;133.282;994;931;877;837;822;770;746;723;661;637;569;546;518;512;509;503;484;453;450;131.822;60;104.323;87.0332;23;15;5;9;6;5;859;0;3228;0;404;28;184;3345;0;292;99;108;3181;0;456;119;88;2927;0;854;1;62
D:\urban\sg500\8\01.bmp;80;32.9342;50.2864;53.7373;935;732;484;345;219;151;78;32;29;0;0;0;0;0;0;0;0;0;0;189.819;191;7.38698;7.48074;0;0;0;0;0;0;0;0;42;0;70;3680;52;67;0;92;3671;14;73;0;88;3672;11;82;0;269;3447;46
D:\urban\sg500\8\01.bmp;81;31.5133;48.8712;51.6683;950;847;582;485;407;259;153;46;43;12;0;0;0;0;0;0;0;0;0;188.027;191;8.17882;8.70261;0;0;0;0;0;0;0;0;0;0;1;3843;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;82;39.0003;56.2529;55.1816;977;855;672;531;292;191;100;70;14;0;0;0;0;0;0;0;0;0;0;175.975;180;10.0884;10.8619;0;0;0;0;0;0;58;0;0;0;147;3056;641;0;0;0;3628;216;0;0;0;3776;68;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;83;49.5247;66.3822;62.506;894;796;612;506;290;204;74;38;1;0;0;0;0;0;0;0;0;0;0;166.589;169;8.2058;8.55283;0;0;0;0;0;0;49;0;0;0;314;2440;1090;0;0;0;3272;572;0;0;0;3546;298;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;84;48.3699;64.5364;61.6402;904;789;553;411;306;214;166;119;72;31;0;0;0;0;0;0;0;0;0;169.474;180;9.58532;14.2376;0;0;0;0;0;0;42;0;0;0;224;2300;1320;0;0;1;3161;682;0;0;0;3388;456;0;0;0;3613;231
D:\urban\sg500\8\01.bmp;85;47.8959;64.5445;61.4571;941;844;565;452;232;163;94;78;48;46;7;7;7;0;0;0;0;0;0;168.961;180;14.6862;18.3732;0;0;0;0;0;0;1;0;24;0;462;2056;1302;4;0;51;2937;852;0;0;47;3167;630;0;0;32;3525;287
D:\urban\sg500\8\01.bmp;86;68.6535;73.9657;73.8647;947;875;710;585;420;372;324;242;229;225;171;164;162;148;131;97;66;66;59;178.526;180;92.3318;92.3435;10;5;3;3;2;2;596;0;849;0;1024;1571;400;754;0;1173;1732;185;403;0;1459;1808;174;0;0;1969;1875;0
D:\urban\sg500\8\01.bmp;87;96.1649;98.3959;97.0996;973;946;868;779;739;670;607;530;444;423;405;374;358;289;237;225;218;215;215;156.422;180;96.1415;100.372;11;8;4;4;3;3;652;0;1794;0;1197;415;438;1701;0;1376;516;251;1547;0;1416;691;190;1460;0;2234;92;58
D:\urban\sg500\8\01.bmp;88;121.477;121.319;118.251;974;921;824;789;702;649;600;573;517;511;493;472;413;382;361;358;351;343;335;99.1498;60;72.9598;68.7289;11;6;3;1;1;1;766;0;2500;0;940;38;366;2526;0;907;73;338;2359;0;977;48;460;2229;0;723;0;892
D:\urban\sg500\8\01.bmp;89;147.135;145.195;142.536;946;864;796;753;668;609;521;513;436;396;371;347;307;303;295;293;292;291;290;92.9105;60;71.6636;62.1186;8;6;4;6;5;4;120;0;2561;0;1212;0;71;2595;0;1214;5;30;2532;0;1281;16;15;2713;0;1120;8;3
D:\urban\sg500\8\01.bmp;90;31.9969;48.0242;53.5635;915;789;522;263;123;74;52;18;0;0;0;0;0;0;0;0;0;0;0;195.406;195;4.94042;4.95709;0;0;0;0;0;0;24;0;23;0;37;3742;42;30;0;60;3736;18;20;0;67;3741;16;0;0;276;3568;0
D:\urban\sg500\8\01.bmp;91;35.3905;51.3538;54.563;960;901;750;659;510;385;208;162;122;95;15;15;14;13;0;0;0;0;0;189.134;180;10.2098;13.7001;0;0;0;0;0;0;49;0;0;0;46;3726;72;0;0;0;3815;29;0;0;0;3843;1;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;92;44.3119;60.9581;59.3161;939;846;649;551;394;307;180;81;60;27;0;0;0;0;0;0;0;0;0;174.632;180;7.83697;9.49944;0;0;0;0;0;0;30;0;0;0;104;3474;266;0;0;0;3795;49;0;0;0;3832;12;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;93;48.3645;64.8699;62.0153;941;887;695;621;355;183;84;30;19;0;0;0;0;0;0;0;0;0;0;170.057;180;8.1484;12.8566;0;0;0;0;0;0;13;0;0;0;231;2669;944;0;0;0;3442;402;0;0;0;3800;44;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;94;46.4873;61.155;60.2253;948;844;582;396;147;73;57;55;36;27;27;27;27;27;27;27;27;24;15;174.693;180;27.968;28.4909;0;0;0;0;0;0;23;0;25;0;120;2728;971;0;0;97;3429;318;0;0;66;3695;83;0;0;0;3844;0
D:\urban\sg500\8\01.bmp;95;71.4199;74.3247;74.6761;914;830;702;599;529;474;378;333;216;196;188;153;150;138;104;84;80;77;76;191.423;180;95.7366;98.4413;5;4;2;1;1;0;827;0;778;0;1253;1093;720;436;0;1495;1516;397;29;0;1811;1770;234;0;0;1949;1836;59
D:\urban\sg500\8\01.bmp;96;118.305;116.886;116.317;890;835;790;729;700;669;638;584;543;531;471;438;401;399;365;356;321;301;284;148.286;240;115.19;115.168;18;13;4;2;2;2;292;0;3014;0;561;67;202;3143;0;384;132;185;2971;0;476;150;247;2353;0;1024;60;407
D:\urban\sg500\8\01.bmp;97;106.267;108.736;105.947;980;899;791;716;682;643;605;568;565;555;535;478;447;430;421;417;399;380;370;121.628;60;83.3692;83.491;13;8;4;3;2;1;708;0;2269;0;871;451;253;2367;0;760;596;121;2273;0;699;776;96;2055;0;1276;338;175
D:\urban\sg500\8\01.bmp;98;107.245;106.208;105.025;928;808;710;621;591;568;535;523;488;481;466;417;405;394;361;354;327;283;280;133.211;60;102.292;89.7738;17;11;7;3;3;3;590;0;2738;0;658;110;338;2823;0;655;115;251;2483;0;956;110;295;1615;0;1308;91;830
D:\urban\sg500\8\01.bmp;99;128.795;125.163;124.682;956;873;821;767;718;670;606;566;552;493;468;458;447;444;439;397;395;379;374;160.855;60;129.018;89.5886;17;12;5;3;3;1;762;0;3459;0;262;54;69;3508;0;252;61;23;3373;0;343;90;38;2876;0;737;78;153
D:\urban\sg500\9\01.bmp;0;61.7843;71.4183;67.2399;1003;903;741;687;597;317;228;197;149;120;45;26;24;14;11;0;0;0;0;142.876;180;40.3427;54.8275;0;0;0;0;0;0;0;0;606;0;304;1916;1018;659;0;169;2043;973;593;0;168;2352;731;201;0;437;2441;765
D:\urban\sg500\9\01.bmp;1;69.8507;78.9519;72.2825;848;624;390;358;219;97;14;0;0;0;0;0;0;0;0;0;0;0;0;125.089;160;38.5558;52.0158;0;0;0;0;0;0;0;0;1044;0;584;396;1820;1429;0;122;606;1687;1536;0;88;1115;1105;5;0;472;953;2414
D:\urban\sg500\9\01.bmp;2;87.3179;88.0229;79.5336;841;582;374;297;100;92;56;36;33;0;0;0;0;0;0;0;0;0;0;69.577;60;35.6051;36.8223;0;0;0;0;0;0;0;0;1537;0;888;7;1412;1839;0;680;7;1318;1901;0;646;64;1233;584;0;990;388;1882
D:\urban\sg500\9\01.bmp;3;104.282;100.975;92.6106;913;754;557;425;349;339;135;102;72;59;38;38;0;0;0;0;0;0;0;46.4475;60;18.0793;22.986;0;0;0;0;0;0;0;0;1973;0;990;0;881;1666;0;1162;0;1016;1845;0;1024;0;975;430;0;1863;181;1370
D:\urban\sg500\9\01.bmp;4;107.109;98.3593;92.0362;709;420;128;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.1106;23;14.534;15.4066;0;0;0;0;0;0;0;0;996;0;671;0;2177;1153;0;415;0;2276;1152;0;368;0;2324;0;0;357;0;3487
D:\urban\sg500\9\01.bmp;5;112.069;103.982;96.7006;836;716;604;480;299;235;139;96;77;77;74;74;74;73;68;60;7;7;7;40.3143;30;39.7848;41.1004;0;0;0;0;0;0;137;0;644;0;2058;298;844;397;0;1958;291;1198;441;0;1871;281;1251;26;0;1600;331;1887
D:\urban\sg500\9\01.bmp;6;119.333;110.613;104.494;825;759;671;576;499;445;305;275;179;137;124;122;120;117;86;85;75;74;73;47.2188;30;38.0035;31.7416;5;3;1;0;0;0;711;0;1062;0;2261;9;512;592;0;2421;6;825;419;0;2529;7;889;1028;0;1326;7;1483
D:\urban\sg500\9\01.bmp;7;80.3785;86.4703;83.0643;911;804;617;463;370;343;246;224;184;183;154;152;136;118;81;81;62;62;61;128.261;180;71.4424;91.2716;2;2;1;1;1;1;1038;0;1120;0;816;394;1514;1026;0;776;529;1513;1028;0;752;1173;891;808;0;1158;1156;722
D:\urban\sg500\9\01.bmp;8;67.5;76.7942;74.1548;889;825;704;553;481;369;257;226;198;159;91;90;90;90;90;90;90;89;83;148.203;180;48.6705;58.1702;0;0;0;0;0;0;34;0;417;0;569;1664;1194;468;0;552;1885;939;563;0;528;2076;677;31;0;941;1819;1053
D:\urban\sg500\9\01.bmp;9;84.1498;88.3952;82.5549;929;877;781;685;586;538;426;384;354;286;250;200;167;159;126;122;105;104;104;103.021;60;56.3431;70.5511;1;1;1;0;0;0;103;0;1078;0;1381;715;670;1199;0;1140;841;664;1602;0;721;1139;382;41;0;2186;1617;0
D:\urban\sg500\9\01.bmp;10;59.4826;71.377;67.0747;916;772;552;425;335;226;172;110;83;42;13;13;0;0;0;0;0;0;0;149.819;180;33.2243;44.8882;0;0;0;0;0;0;0;0;560;0;144;1886;1254;692;0;17;1904;1231;614;0;0;2028;1202;0;0;36;2144;1664
D:\urban\sg500\9\01.bmp;11;72.9787;81.32;75.692;911;812;655;580;434;296;115;38;36;0;0;0;0;0;0;0;0;0;0;127.225;120;37.7579;38.4431;0;0;0;0;0;0;0;0;1099;0;1255;128;1362;1968;0;484;175;1217;2591;0;0;425;828;0;0;205;1809;1830
D:\urban\sg500\9\01.bmp;12;90.8067;90.1046;82.9165;879;776;537;435;210;167;118;72;68;65;0;0;0;0;0;0;0;0;0;65.8018;60;40.8239;41.221;0;0;0;0;0;0;0;0;1870;0;910;0;1064;2054;0;605;0;1185;1867;0;745;0;1232;885;0;610;113;2236
D:\urban\sg500\9\01.bmp;13;114.213;111.896;101.747;769;628;511;462;393;378;315;314;293;262;238;237;233;231;216;188;184;183;180;53.2297;60;20.7802;22.315;6;3;2;0;0;0;0;0;1704;0;1148;0;992;1966;0;850;0;1028;1647;0;844;0;1353;1314;0;1287;2;1241
D:\urban\sg500\9\01.bmp;14;90.2183;88.5858;82.5195;944;815;675;497;437;330;213;194;192;149;141;105;103;79;69;46;37;0;0;75.3478;180;60.1235;120.705;0;0;0;0;0;0;0;0;1282;0;830;788;944;1106;0;689;822;1227;1346;0;430;868;1200;11;0;1304;1380;1149
D:\urban\sg500\9\01.bmp;15;65.3772;72.3046;71.16;963;907;816;779;572;507;435;378;282;241;225;150;145;140;122;65;63;62;39;147.494;180;63.2534;71.4942;1;1;1;0;0;0;75;0;556;0;351;2557;380;475;0;374;2731;264;484;0;442;2825;93;150;0;747;2947;0
D:\urban\sg500\9\01.bmp;16;83.9735;89.2235;86.4321;888;857;722;656;578;482;344;340;278;232;202;198;93;87;74;62;61;55;32;118.3;180;75.2221;99.4066;1;1;1;0;0;0;1240;0;1129;0;826;951;938;985;0;854;1038;967;772;0;1094;1055;923;946;0;1195;705;998
D:\urban\sg500\9\01.bmp;17;54.232;72.5666;67.6311;880;770;505;319;152;98;80;74;66;56;30;16;2;0;0;0;0;0;0;165.009;162;10.8154;11.2263;0;0;0;0;0;0;0;0;107;0;153;813;2771;161;0;65;800;2818;179;0;0;875;2790;0;0;0;578;3266
D:\urban\sg500\9\01.bmp;18;79.6137;84.3699;81.3473;960;897;767;698;584;490;409;401;389;325;249;242;238;238;163;160;97;88;19;115.769;180;67.0234;93.3522;0;0;0;0;0;0;143;0;816;0;1150;1377;501;792;0;1160;1371;521;920;0;1044;1419;461;0;0;1588;1590;666
D:\urban\sg500\9\01.bmp;19;110.001;110.646;103.896;982;920;857;795;687;612;575;534;489;445;374;327;305;278;195;172;125;124;80;77.3593;60;49.561;52.2495;2;2;1;0;0;0;0;0;1845;0;1343;319;337;1726;0;1470;358;290;1779;0;1511;371;183;1031;0;2403;410;0
D:\urban\sg500\9\01.bmp;20;55.7209;69.3853;65.2581;937;836;619;501;369;249;96;62;22;20;0;0;0;0;0;0;0;0;0;158.233;180;22.3952;31.2326;0;0;0;0;0;0;0;0;344;0;232;2006;1262;489;0;95;2274;986;457;0;112;2614;661;291;0;316;2011;1226
D:\urban\sg500\9\01.bmp;21;70.3343;80.1584;73.589;878;627;463;349;213;147;60;11;0;0;0;0;0;0;0;0;0;0;0;131.085;120;27.0901;29.271;0;0;0;0;0;0;0;0;943;0;676;41;2184;1733;0;36;51;2024;1818;0;0;76;1950;0;0;0;320;3524
D:\urban\sg500\9\01.bmp;22;77.1977;81.7846;75.2531;822;692;400;262;107;94;4;0;0;0;0;0;0;0;0;0;0;0;0;102.678;60;36.9898;55.9882;1;1;1;0;0;0;0;0;1771;0;764;29;1280;2561;0;117;33;1133;2612;0;0;45;1187;0;0;0;67;3777
D:\urban\sg500\9\01.bmp;23;70.564;75.7391;69.0351;687;561;409;383;352;289;225;183;179;130;85;78;75;45;13;13;13;13;13;107.643;60;52.2603;70.6955;0;0;0;0;0;0;0;0;1089;0;181;1252;1322;1186;0;108;1326;1224;926;0;0;1446;1472;0;0;2;1598;2244
D:\urban\sg500\9\01.bmp;24;55.6168;64.4696;64.1074;970;903;811;764;656;622;579;418;379;338;226;181;129;89;49;48;48;48;48;164.22;180;56.8037;59.0213;1;1;1;0;0;0;98;0;295;0;446;2913;190;322;0;390;2983;149;398;0;304;3110;32;0;0;512;3324;8
D:\urban\sg500\9\01.bmp;25;75.608;80.7339;79.1774;924;857;747;646;546;486;408;344;332;294;220;194;175;48;18;11;0;0;0;137.237;180;79.8771;92.84;1;1;1;0;0;0;1132;0;919;0;822;1611;492;960;0;753;1737;394;1013;0;689;1847;295;755;0;1043;1520;526
D:\urban\sg500\9\01.bmp;26;60.4089;72.884;68.8106;875;742;551;467;354;309;220;217;193;109;108;98;84;83;0;0;0;0;0;144.445;180;52.6485;63.75;0;0;0;0;0;0;92;0;324;0;388;1659;1473;329;0;423;1528;1564;430;0;364;1334;1716;28;0;425;1483;1908
D:\urban\sg500\9\01.bmp;27;60.0125;71.4024;68.6972;899;797;735;661;504;442;349;260;251;183;117;110;97;97;88;77;75;75;55;150.808;180;53.3293;61.1104;0;0;0;0;0;0;53;0;304;0;482;2175;883;326;0;488;2247;783;378;0;463;2318;685;0;0;513;2403;928
D:\urban\sg500\9\01.bmp;28;133.757;128.969;122.274;920;880;803;673;628;620;550;521;475;408;379;375;314;310;276;257;223;217;131;52.4355;30;45.4693;50.5799;0;0;0;0;0;0;147;0;1791;0;1612;195;246;1694;0;1745;185;220;1811;0;1720;189;124;1330;0;2075;409;30
D:\urban\sg500\9\01.bmp;29;191.825;184.744;174.754;1003;958;832;797;688;607;549;518;459;429;408;371;363;346;330;245;197;167;165;35.3801;32;8.46185;9.11212;5;3;2;0;0;0;0;0;3357;0;459;0;28;3456;0;379;0;9;3512;0;321;0;11;3592;0;252;0;0
D:\urban\sg500\9\01.bmp;30;46.3827;65.6902;62.1163;925;881;735;543;415;284;210;160;96;72;60;31;9;9;9;0;0;0;0;169.733;180;8.98843;13.647;0;0;0;0;0;0;0;0;119;0;85;3091;549;113;0;139;3151;441;119;0;204;3156;365;173;0;456;2551;664
D:\urban\sg500\9\01.bmp;31;58.6459;71.718;67.7927;929;837;654;474;357;253;113;85;41;38;30;30;27;26;7;0;0;0;0;155.373;180;25.6536;35.5635;0;0;0;0;0;0;0;0;306;0;249;1708;1581;394;0;36;2110;1304;262;0;0;2622;960;0;0;21;1870;1953
D:\urban\sg500\9\01.bmp;32;68.7885;75.3517;71.2024;956;793;639;536;446;404;344;322;314;283;256;168;136;117;88;76;57;40;0;125.385;180;51.4586;75.6019;0;0;0;0;0;0;4;0;838;0;661;1402;943;1227;0;262;1563;792;1233;0;266;1757;588;23;0;443;2563;815
D:\urban\sg500\9\01.bmp;33;71.7219;76.9532;75.4813;922;866;817;800;740;700;578;500;445;404;235;182;168;148;139;67;42;42;0;150.281;180;85.8346;91.5538;0;0;0;0;0;0;833;0;402;0;1384;1792;266;458;0;1307;1871;208;658;0;1087;1989;110;121;0;1312;2409;2
D:\urban\sg500\9\01.bmp;34;62.9225;72.4914;70.3993;930;872;757;678;583;541;382;332;302;298;252;214;156;129;123;116;75;75;11;159.393;180;66.1214;69.8355;0;0;0;0;0;0;992;0;334;0;666;1912;932;316;0;597;2130;801;411;0;448;2267;718;0;0;604;2131;1109
D:\urban\sg500\9\01.bmp;35;47.4225;69.8522;63.1532;673;365;234;127;107;27;9;9;9;9;9;9;0;0;0;0;0;0;0;162.682;162;9.13335;9.15878;0;0;0;0;0;0;23;0;1;0;0;1556;2287;0;0;0;1392;2452;0;0;0;1267;2577;0;0;0;393;3451
D:\urban\sg500\9\01.bmp;36;53.3939;75.1707;64.2461;692;477;252;190;143;134;109;89;73;71;69;69;67;64;26;0;0;0;0;150.426;147;9.32334;9.9329;0;0;0;0;0;0;0;0;42;0;0;637;3165;18;0;0;723;3103;0;0;0;798;3046;0;0;4;564;3276
D:\urban\sg500\9\01.bmp;37;84.6353;90.2929;85.6558;885;834;698;672;626;566;455;394;374;341;334;304;287;284;214;203;171;169;38;107.56;180;61.3329;96.1109;0;0;0;0;0;0;154;0;866;0;1214;758;1006;710;0;1359;924;851;843;0;1362;1172;467;70;0;1902;1480;392
D:\urban\sg500\9\01.bmp;38;165.044;152.586;144.622;924;880;818;795;767;726;686;657;600;588;558;544;520;484;414;339;308;306;304;29.314;28;18.1297;18.0345;10;7;3;2;1;1;295;0;1825;0;1999;0;20;2127;0;1704;0;13;2406;0;1424;0;14;2903;0;941;0;0
D:\urban\sg500\9\01.bmp;39;200.185;191.869;180.38;1000;964;928;866;787;767;708;692;666;620;568;505;482;471;446;418;377;320;301;35.281;35;9.11351;9.11784;16;12;4;1;1;1;0;0;3314;0;525;5;0;3629;0;212;3;0;3576;0;268;0;0;3645;0;199;0;0
D:\urban\sg500\9\01.bmp;40;41.1857;60.0674;58.0663;991;954;811;741;618;547;318;232;117;98;90;45;7;0;0;0;0;0;0;173.277;180;14.7429;16.204;0;0;0;0;0;0;0;0;27;0;58;3563;196;53;0;59;3663;69;107;0;37;3685;15;0;0;236;3569;39
D:\urban\sg500\9\01.bmp;41;70.1509;77.2828;75.1701;959;928;824;774;696;679;597;523;440;390;196;169;145;109;107;66;60;51;49;153.184;180;76.3233;82.1325;4;3;3;0;0;0;304;0;604;0;1064;1882;294;618;0;1071;2007;148;674;0;1062;2095;13;10;0;1582;2252;0
D:\urban\sg500\9\01.bmp;42;75.5736;81.2573;79.0645;970;935;832;697;643;585;483;455;386;315;264;110;104;53;49;46;43;42;42;162.52;180;89.5247;91.5648;4;2;1;0;0;0;847;0;900;0;1211;1299;434;1219;0;871;1411;343;1248;0;843;1568;185;97;0;1744;1444;559
D:\urban\sg500\9\01.bmp;43;60.9927;72.7836;68.377;889;737;609;522;448;366;291;169;167;122;117;112;109;43;0;0;0;0;0;151.004;180;51.491;59.4751;0;0;0;0;0;0;238;0;631;0;490;1547;1176;964;0;198;1530;1152;986;0;71;1579;1208;0;0;294;1268;2282
D:\urban\sg500\9\01.bmp;44;57.1514;76.5744;67.3567;813;527;220;7;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;147.165;146;18.426;18.4628;0;0;0;0;0;0;0;0;474;0;77;477;2816;588;0;0;354;2902;477;0;0;302;3065;0;0;0;0;3844
D:\urban\sg500\9\01.bmp;45;49.2279;73.3184;64.7427;731;567;190;74;43;14;14;14;13;9;9;9;9;0;0;0;0;0;0;156.751;163;13.812;15.1601;0;0;0;0;0;0;0;0;77;0;1;1016;2750;95;0;0;749;3000;83;0;0;625;3136;0;0;0;152;3692
D:\urban\sg500\9\01.bmp;46;65.6787;78.6363;72.5739;870;738;693;636;583;516;473;391;373;324;233;200;130;113;107;79;78;78;0;135.578;180;46.5089;64.3187;0;0;0;0;0;0;28;0;314;0;620;1392;1518;310;0;644;1593;1297;415;0;559;1770;1100;0;0;977;1789;1078
D:\urban\sg500\9\01.bmp;47;88.1517;87.0676;82.8452;923;857;755;725;695;666;552;475;448;362;333;249;234;202;160;153;134;126;9;91.4542;60;62.0659;57.6897;5;3;1;0;0;0;42;0;1371;0;1146;641;686;1585;0;835;743;681;2053;0;497;956;338;751;0;1966;1016;111
D:\urban\sg500\9\01.bmp;48;109.956;106.689;103.589;970;920;831;771;686;617;560;543;500;468;430;345;338;286;217;209;130;116;87;70.3546;30;66.0101;69.3896;10;6;4;2;2;1;521;0;1624;0;1556;387;277;1734;0;1504;365;241;1665;0;1672;427;80;1754;0;1889;201;0
D:\urban\sg500\9\01.bmp;49;118.621;113.119;108.397;963;899;794;755;649;538;459;432;370;359;334;318;307;258;242;242;241;239;224;67.2105;30;64.7079;72.5941;10;5;3;0;0;0;215;0;1540;0;1416;604;284;1661;0;1360;676;147;1777;0;1410;639;18;1499;0;2038;154;153
D:\urban\sg500\9\01.bmp;50;71.0042;76.975;76.6777;800;773;626;535;392;337;269;244;222;200;196;166;121;59;54;52;50;18;0;167.36;180;98.3533;99.5709;0;0;0;0;0;0;574;0;714;0;978;1858;294;473;0;1322;1854;195;555;0;1331;1913;45;222;0;1389;2088;145
D:\urban\sg500\9\01.bmp;51;70.2882;80.7237;77.3132;889;708;620;560;496;363;314;263;229;212;194;190;171;148;139;135;127;115;108;146.932;180;59.746;69.5641;0;0;0;0;0;0;239;0;607;0;664;1313;1260;532;0;755;1373;1184;592;0;725;1431;1096;56;0;1446;1157;1185
D:\urban\sg500\9\01.bmp;52;80.8062;91.5791;84.2947;821;644;372;284;195;170;122;119;113;113;102;99;99;99;99;99;99;99;99;121.488;150;44.9847;53.535;1;1;1;1;1;1;0;0;1073;0;632;91;2048;1274;0;539;34;1997;1211;0;587;79;1967;4;0;1211;309;2320
D:\urban\sg500\9\01.bmp;53;54.1772;71.7284;65.4711;726;538;209;163;35;35;31;13;0;0;0;0;0;0;0;0;0;0;0;155.19;160;16.5938;17.2769;0;0;0;0;0;0;0;0;195;0;133;1117;2399;301;0;21;968;2554;278;0;11;841;2714;0;0;44;438;3362
D:\urban\sg500\9\01.bmp;54;73.8304;83.456;77.2255;829;718;386;192;92;75;75;74;74;74;66;66;66;66;64;64;64;64;64;121.671;120;40.8787;40.9129;0;0;0;0;0;0;0;0;568;0;595;120;2561;730;0;496;35;2583;581;0;480;9;2774;19;0;897;22;2906
D:\urban\sg500\9\01.bmp;55;53.5307;66.8247;63.1959;872;693;484;418;322;306;266;248;170;141;107;102;101;29;27;27;27;26;26;157.326;180;27.2879;35.4808;0;0;0;0;0;0;0;0;97;0;74;1868;1805;115;0;66;1981;1682;109;0;55;2090;1590;10;0;84;1888;1862
D:\urban\sg500\9\01.bmp;56;67.4259;73.4063;71.8028;942;871;802;733;642;587;501;454;414;373;317;298;212;202;103;84;84;83;61;135.927;180;64.0854;78.2793;0;0;0;0;0;0;74;0;590;0;691;2201;362;636;0;650;2300;258;789;0;513;2424;118;19;0;557;3244;24
D:\urban\sg500\9\01.bmp;57;112.78;104.671;100.715;878;838;799;778;714;705;645;601;507;470;458;418;354;353;279;222;197;91;80;68.0911;0;57.0011;58.7477;10;5;3;4;2;2;118;0;1809;0;1437;341;257;2048;0;1227;347;222;2100;0;1192;399;153;1761;0;1745;338;0
