Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u
D:\urban\sg500\1\01.bmp;15;135.234;148.855;146.54;983;887;728;477;332;273;246;224;211;200;192;182;168;166;162;151;138;118;88;168.409;180;18.7125;22.019;1;1;1;0;0;0;0;0;294;3141;163;144;102;335;3036;320;77;76;122;3028;503;137;54;344;2753;716;31;0
D:\urban\sg500\1\01.bmp;16;75.3777;85.616;85.6311;894;771;669;640;556;530;491;467;456;401;372;323;273;142;121;120;120;117;117;152.621;180;67.9138;74.0293;4;2;2;1;1;1;0;0;808;264;731;459;1582;681;335;885;455;1488;202;685;1039;591;1327;515;366;1406;288;1269
D:\urban\sg500\1\01.bmp;17;92.9157;90.6902;88.0801;800;626;516;336;328;290;253;211;171;163;157;155;153;152;152;144;143;143;133;67.2804;30;67.7547;70.682;1;1;1;0;0;0;0;0;421;147;1376;531;1369;442;234;1809;385;974;221;333;2618;279;393;257;188;2999;175;225
D:\urban\sg500\1\01.bmp;18;70.2326;71.6504;72.9906;917;853;757;690;667;597;553;541;485;427;400;341;327;317;305;285;267;248;162;145.546;0;96.1193;117.099;4;3;3;3;2;2;13;0;1026;248;716;1363;491;1100;324;991;1138;291;942;465;1388;945;104;457;507;1747;1062;71
D:\urban\sg500\1\01.bmp;19;61.3585;63.5117;65.9839;923;871;789;746;703;644;578;556;538;484;462;437;373;348;323;319;317;313;191;173.316;210;88.5457;83.7088;4;4;3;3;3;3;565;0;1490;324;190;1377;463;1804;487;304;1021;228;1755;826;556;617;90;1290;1139;942;473;0
D:\urban\sg500\1\01.bmp;20;155.031;167.698;164.964;1022;955;780;633;531;419;247;236;164;129;111;86;58;22;4;0;0;0;0;167.517;180;8.41272;15.0544;6;4;2;0;0;0;0;0;42;3755;47;0;0;58;3669;117;0;0;4;3584;256;0;0;306;3267;271;0;0
D:\urban\sg500\1\01.bmp;21;152.773;165.755;162.783;1018;938;668;474;272;223;108;48;17;9;0;0;0;0;0;0;0;0;0;166.825;165;8.01076;8.21599;0;0;0;0;0;0;0;0;0;3825;19;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0
D:\urban\sg500\1\01.bmp;22;150.478;163.863;160.705;1009;918;702;507;261;201;99;41;14;13;0;0;0;0;0;0;0;0;0;166.33;180;8.58139;16.1419;0;0;0;0;0;0;0;0;0;3661;183;0;0;0;3759;85;0;0;0;3824;20;0;0;0;3799;45;0;0
D:\urban\sg500\1\01.bmp;23;135.911;150.105;146.548;935;822;642;485;256;186;119;79;74;61;42;36;29;29;29;28;7;6;6;165.314;160;7.07071;8.84554;0;0;0;0;0;0;0;0;1;2584;921;0;338;3;2639;918;0;284;0;2652;1013;0;179;0;2507;1301;0;36
D:\urban\sg500\1\01.bmp;24;114.15;130.424;125.668;847;710;570;460;253;184;60;60;19;0;0;0;0;0;0;0;0;0;0;162.752;160;6.58092;7.13333;0;0;0;0;0;0;0;0;0;1038;1858;0;948;0;1023;1978;0;843;0;1088;2038;0;718;0;1312;2439;0;93
